Coluna;Microrregião
CNAE 2.0 Subclasse;11001:PORTO VELHO;11002:GUAJARÁ-MIRIM;11003:ARIQUEMES;11004:JI-PARANÁ;11005:ALVORADA DOESTE;11006:CACOAL;11007:VILHENA;11008:COLORADO DO OESTE;12001:CRUZEIRO DO SUL;12002:TARAUACÁ;12003:SENA MADUREIRA;12004:RIO BRANCO;12005:BRASILÉIA;13001:RIO NEGRO-AM;13002:JAPURÁ;13003:ALTO SOLIMÕES;13004:JURUÁ;13005:TEFÉ;13006:COARI;13007:MANAUS;13008:RIO PRETO DA EVA;13009:ITACOATIARA;13010:PARINTINS;13011:BOCA DO ACRE;13012:PURUS;13013:MADEIRA;14001:BOA VISTA;14002:NORDESTE DE RORAIMA;14003:CARACARAÍ;14004:SUDESTE DE RORAIMA;15001:ÓBIDOS;15002:SANTARÉM;15003:ALMEIRIM;15004:PORTEL;15005:FUROS DE BREVES;15006:ARARI;15007:BELÉM;15008:CASTANHAL;15009:SALGADO;15010:BRAGANTINA;15011:CAMETÁ;15012:TOMÉ-AÇU;15013:GUAMÁ;15014:ITAITUBA;15015:ALTAMIRA;15016:TUCURUÍ;15017:PARAGOMINAS;15018:SÃO FÉLIX DO XINGU;15019:PARAUAPEBAS;15020:MARABÁ;15021:REDENÇÃO;15022:CONCEIÇÃO DO ARAGUAIA;16001:OIAPOQUE;16002:AMAPÁ;16003:MACAPÁ;16004:MAZAGÃO;17001:BICO DO PAPAGAIO;17002:ARAGUAÍNA;17003:MIRACEMA DO TOCANTINS;17004:RIO FORMOSO;17005:GURUPI-TO;17006:PORTO NACIONAL;17007:JALAPÃO;17008:DIANÓPOLIS;Total
0155501:Criação de frangos para corte;20;0;2;0;0;14;1;2;11;0;1;4;0;0;0;0;0;0;0;22;5;0;6;0;0;0;0;0;2;0;3;543;0;7;0;0;104;460;45;154;0;11;3;1;0;0;15;0;0;1;0;0;0;0;5;0;140;249;2;10;5;8;0;1;1857
0155502:Produção de pintos de um dia;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;191
0155503:Criação de outros galináceos, exceto para corte;1;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;1;0;1;0;0;44
0155504:Criação de aves, exceto galináceos;1;0;0;0;0;3;1;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;154;245;19;106;24;0;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;1;0;0;8;0;0;592
0155505:Produção de ovos;4;0;0;15;0;12;42;0;0;0;0;43;0;0;0;0;0;0;0;725;3;0;3;0;0;0;43;0;5;0;0;0;0;0;0;0;0;38;3;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;54;0;1;0;0;0;0;0;1041
0159801:Apicultura;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;24
0159802:Criação de animais de estimação;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;12
0159899:Criação de outros animais não especificados anteriormente;21;0;13;13;0;2;9;1;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;9;2;0;2;1;8;0;11;3;0;9;18;0;0;1;0;0;7;1;0;8;5;0;2;170
0161001:Serviço de pulverização e controle de pragas agrícolas;0;0;9;0;0;1;39;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;17;0;1;0;0;0;0;1;3;9;0;0;0;1;12;0;0;0;0;0;2;0;39;0;24;10;0;175
0161002:Serviço de poda de árvores para lavouras;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
0161003:Serviço de preparação de terreno, cultivo e colheita;43;0;0;1;0;0;11;3;1;0;0;0;1;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;2;0;29;0;1;13;3;0;33;67;488;0;0;0;0;4;0;0;0;0;0;0;0;20;0;0;9;31;12;2;3;2;1;801
0161099:Atividades de apoio à agricultura não especificadas anteriormente;22;0;19;15;5;4;7;5;2;1;1;53;3;0;0;0;0;0;0;79;29;3;0;0;0;0;14;2;1;2;11;11;0;0;2;17;1262;405;19;75;3;210;53;1;1;126;250;5;13;5;5;29;0;0;12;0;8;53;38;32;58;22;8;31;3032
0162801:Serviço de inseminação artificial em animais;1;0;1;1;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;18
