Coluna;Microrregião
CNAE 2.0 Subclasse;11001:PORTO VELHO;11002:GUAJARÁ-MIRIM;11003:ARIQUEMES;11004:JI-PARANÁ;11005:ALVORADA DOESTE;11006:CACOAL;11007:VILHENA;11008:COLORADO DO OESTE;12001:CRUZEIRO DO SUL;12002:TARAUACÁ;12003:SENA MADUREIRA;12004:RIO BRANCO;12005:BRASILÉIA;13001:RIO NEGRO-AM;13002:JAPURÁ;13003:ALTO SOLIMÕES;13004:JURUÁ;13005:TEFÉ;13006:COARI;13007:MANAUS;13008:RIO PRETO DA EVA;13009:ITACOATIARA;13010:PARINTINS;13011:BOCA DO ACRE;13012:PURUS;13013:MADEIRA;14001:BOA VISTA;14002:NORDESTE DE RORAIMA;14003:CARACARAÍ;14004:SUDESTE DE RORAIMA;15001:ÓBIDOS;15002:SANTARÉM;15003:ALMEIRIM;15004:PORTEL;15005:FUROS DE BREVES;15006:ARARI;15007:BELÉM;15008:CASTANHAL;15009:SALGADO;15010:BRAGANTINA;15011:CAMETÁ;15012:TOMÉ-AÇU;15013:GUAMÁ;15014:ITAITUBA;15015:ALTAMIRA;15016:TUCURUÍ;15017:PARAGOMINAS;15018:SÃO FÉLIX DO XINGU;15019:PARAUAPEBAS;15020:MARABÁ;15021:REDENÇÃO;15022:CONCEIÇÃO DO ARAGUAIA;16001:OIAPOQUE;16002:AMAPÁ;16003:MACAPÁ;16004:MAZAGÃO;17001:BICO DO PAPAGAIO;17002:ARAGUAÍNA;17003:MIRACEMA DO TOCANTINS;17004:RIO FORMOSO;17005:GURUPI-TO;17006:PORTO NACIONAL;17007:JALAPÃO;17008:DIANÓPOLIS;Total
0155501:Criação de frangos para corte;28;0;2;0;0;18;5;2;9;0;0;5;0;0;0;0;0;0;0;95;4;0;6;0;0;0;17;1;0;0;3;2090;0;1;0;0;246;754;32;150;1;8;1;0;4;0;22;0;0;1;0;0;0;0;10;0;129;373;1;5;1;9;6;0;4039
0155502:Produção de pintos de um dia;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;67;0;0;0;0;0;0;169
0155503:Criação de outros galináceos, exceto para corte;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;1;2;0;0;54
0155504:Criação de aves, exceto galináceos;1;0;1;0;0;9;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;271;21;79;19;0;4;0;0;0;22;0;0;5;0;0;0;0;0;0;5;9;0;2;0;9;1;1;591
0155505:Produção de ovos;0;0;0;19;0;13;60;0;16;0;0;42;0;0;0;0;0;0;0;869;6;0;2;0;0;0;119;0;9;0;0;33;0;0;0;0;0;29;3;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;310;0;1;0;0;0;0;0;1587
0159801:Apicultura;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;25
0159802:Criação de animais de estimação;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;4;0;0;0;13
0159899:Criação de outros animais não especificados anteriormente;32;0;9;13;0;3;7;1;0;0;0;18;0;0;0;0;0;0;0;1;0;0;0;0;10;0;2;4;3;0;0;0;0;0;0;0;0;4;2;0;8;0;0;1;0;6;0;14;2;1;1;6;0;0;1;0;1;3;0;0;8;9;0;4;174
0161001:Serviço de pulverização e controle de pragas agrícolas;0;0;5;0;0;1;26;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;0;0;0;0;0;3;4;48;0;23;13;1;136
0161002:Serviço de poda de árvores para lavouras;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
0161003:Serviço de preparação de terreno, cultivo e colheita;3;0;0;0;0;0;16;3;0;0;0;0;0;0;0;0;0;0;0;28;0;1;0;0;0;0;0;0;0;0;0;7;0;24;0;0;0;2;0;302;16;44;0;0;0;0;35;0;0;0;0;0;0;0;14;0;1;7;8;5;7;14;4;12;553
0161099:Atividades de apoio à agricultura não especificadas anteriormente;6;4;32;13;6;19;9;11;3;4;3;35;5;0;0;0;0;0;0;143;27;1;0;0;0;0;6;6;0;0;0;6;0;1;0;19;1083;474;34;81;2;295;32;3;0;19;138;2;15;4;2;22;0;3;18;0;20;55;28;35;42;39;9;22;2836
