Coluna;Microrregião
CNAE 2.0 Subclasse;50001:BAIXO PANTANAL;50002:AQUIDAUANA;50003:ALTO TAQUARI;50004:CAMPO GRANDE;50005:CASSILÂNDIA;50006:PARANAÍBA;50007:TRÊS LAGOAS;50008:NOVA ANDRADINA;50009:BODOQUENA;50010:DOURADOS;50011:IGUATEMI;51001:ARIPUANÃ;51002:ALTA FLORESTA;51003:COLÍDER;51004:PARECIS;51005:ARINOS;51006:ALTO TELES PIRES;51007:SINOP;51008:PARANATINGA;51009:NORTE ARAGUAIA;51010:CANARANA;51011:MÉDIO ARAGUAIA;51012:ALTO GUAPORÉ;51013:TANGARÁ DA SERRA;51014:JAURU;51015:ALTO PARAGUAI;51016:ROSÁRIO OESTE;51017:CUIABÁ;51018:ALTO PANTANAL;51019:PRIMAVERA DO LESTE;51020:TESOURO;51021:RONDONÓPOLIS;51022:ALTO ARAGUAIA;52001:SÃO MIGUEL DO ARAGUAIA;52002:RIO VERMELHO;52003:ARAGARÇAS;52004:PORANGATU;52005:CHAPADA DOS VEADEIROS;52006:CERES;52007:ANÁPOLIS;52008:IPORÁ;52009:ANICUNS;52010:GOIÂNIA;52011:VÃO DO PARANÃ;52012:ENTORNO DE BRASÍLIA;52013:SUDOESTE DE GOIÁS;52014:VALE DO RIO DOS BOIS;52015:MEIA PONTE;52016:PIRES DO RIO;52017:CATALÃO;52018:QUIRINÓPOLIS;53001:BRASÍLIA;Total
0155503:Criação de outros galináceos, exceto para corte;0;7;1;5;0;2;1;0;0;35;0;0;1;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;6;0;96;0;0;9;0;13;170;196;0;1;0;0;3;703
0155504:Criação de aves, exceto galináceos;0;0;15;6;0;0;0;1;0;5;3;0;0;0;0;0;46;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;14;0;35;0;3;10;1;32;129;0;0;25;0;0;70;405
0155505:Produção de ovos;1;0;38;146;109;0;4;0;0;82;43;6;0;0;0;0;155;58;1;0;17;0;0;168;0;5;0;2;0;910;225;0;0;0;0;0;0;55;0;979;0;0;884;0;338;431;5;114;11;0;0;413;5200
0159801:Apicultura;0;0;1;5;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;1;1;0;3;26
0159802:Criação de animais de estimação;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;3;0;1;0;0;0;0;0;0;0;0;7;0;3;0;0;1;2;3;0;20;49
0159899:Criação de outros animais não especificados anteriormente;0;5;23;11;0;0;13;0;0;9;3;0;1;1;0;2;6;4;2;2;0;0;0;1;0;0;1;26;26;10;0;2;0;3;3;8;3;0;25;23;0;0;54;7;24;34;5;102;12;10;0;36;497
0161001:Serviço de pulverização e controle de pragas agrícolas;1;1;47;41;67;0;100;0;0;115;68;11;3;0;50;17;51;5;4;5;11;2;1;54;10;0;5;20;2;94;0;9;20;4;3;0;1;0;8;1;0;10;49;15;42;207;12;87;0;1;24;0;1278
0161002:Serviço de poda de árvores para lavouras;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;8;0;19;0;0;1;0;0;2;1;0;0;0;0;9;71
0161003:Serviço de preparação de terreno, cultivo e colheita;12;3;22;36;162;44;163;79;15;104;281;0;9;0;69;18;57;48;20;4;43;14;1;123;1;2;0;7;1;118;18;47;22;1;2;1;4;0;32;1;0;19;93;80;635;366;84;84;11;67;45;20;3088
0161099:Atividades de apoio à agricultura não especificadas anteriormente;42;9;86;222;69;6;48;186;21;227;102;6;20;12;1074;16;77;54;13;14;12;5;3;104;13;0;28;899;4;92;11;56;26;77;57;1;42;19;75;93;14;33;212;50;338;211;136;362;37;94;331;210;5949
0162801:Serviço de inseminação artificial em animais;0;6;1;11;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;11;0;0;5;0;1;39;0;2;0;0;0;0;86
0162802:Serviço de tosquiamento de ovinos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
0162803:Serviço de manejo de animais;10;0;1;5;0;0;3;1;9;3;0;3;0;0;1;0;0;0;3;6;0;3;0;2;0;0;0;3;0;0;0;2;0;6;1;2;1;13;12;34;3;81;12;0;53;5;24;6;1;2;0;9;320
0162899:Atividades de apoio à pecuária não especificadas anteriormente;99;126;173;271;51;13;86;70;63;129;112;11;1;13;1;14;21;6;13;63;5;56;4;29;12;0;26;943;6;17;16;51;0;53;89;25;42;50;29;284;21;33;186;80;519;117;66;200;28;132;20;64;4539
0163600:Atividades de pós-colheita;0;1;15;29;9;8;0;0;10;159;1;0;7;0;4;9;37;6;0;0;19;0;0;0;0;0;0;0;0;88;0;6;6;0;1;23;0;0;0;74;1;0;649;0;54;345;9;0;2;0;0;16;1588
0170900:Caça e serviços relacionados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
0210101:Cultivo de eucalipto;0;7;46;147;1;346;3074;12;1;25;28;3;3;0;19;0;28;1;6;0;8;0;0;27;5;0;0;86;0;9;35;36;10;0;1;0;4;11;7;35;8;0;21;1;45;69;9;0;11;4;1;8;4198
0210103:Cultivo de pinus;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;264;0;0;300
0210104:Cultivo de teca;0;0;0;0;0;0;0;0;0;0;0;2;12;1;0;0;0;0;0;0;37;0;0;56;272;0;32;4;96;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;519
0210105:Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;0;0;5;5;0;0;16;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;3;0;0;0;0;0;1;49
0210106:Cultivo de mudas em viveiros florestais;0;2;3;23;11;0;177;0;0;9;10;0;2;2;23;0;2;35;0;0;0;3;0;58;0;0;1;20;0;0;8;12;0;0;0;0;5;10;0;13;0;0;13;0;18;6;11;2;1;0;0;9;489
0210107:Extração de madeira em florestas plantadas;0;0;9;32;0;11;154;3;0;7;1;80;1;13;0;47;21;65;1;0;0;0;0;7;6;0;0;9;2;0;0;42;0;0;0;0;22;25;0;27;0;5;6;0;15;6;6;1;21;48;3;1;697
0210108:Produção de carvão vegetal - florestas plantadas;0;4;3;8;0;9;204;8;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;3;0;1;0;1;0;0;260
0210199:Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;0;0;0;0;0;3;101;0;0;0;0;0;0;0;0;0;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;118
